SERVICE REQUEST TYPE,SERVICE REQUEST NUMBER,DATE SERVICE REQUEST WAS RECEIVED,LOCATION ON LOT,IS BUILDING DANGEROUS OR HAZARDOUS,IS BUILDING OPEN OR BOARDED,ENTRY POINT,IS BUILDING VACANT OR OCCUPIED,IS BUILDING VACANT DUE TO FIRE,PEOPLE USING PROPERTY,ADDRESS STREET NUMBER,ADDRESS STREET DIRECTION,ADDRESS STREET NAME,ADDRESS STREET SUFFIX,ZIP CODE,X COORDINATE,Y COORDINATE,Ward,Police District,Community Area,LATITUDE,LONGITUDE
Vacant/Abandoned Building,17-07112804,10/22/2017,Front,,Open,BACK WINDOW OPEN,Vacant,false,false,10015,S,VERNON,AVE,60628,1181009.96,1838651.16,9,5,49,41.712504,-87.61269
Vacant/Abandoned Building,17-07127271,10/23/2017,Front,,Open,,Vacant,true,false,7741,S,LOWE,AVE,60620,1173308.75,1853552.96,6,6,71,41.753569,-87.640454
Vacant/Abandoned Building,17-07129020,10/23/2017,Rear,,Open,REAR DOOR,Vacant,false,false,12862,S,EMERALD,AVE,60628,1173675.63,1819475.44,34,5,53,41.660048,-87.640115
Vacant/Abandoned Building,17-07138800,10/23/2017,Front,,Open,FRONT,Vacant,false,true,9402,S,WALLACE,ST,60620,1173956.15,1842532.31,21,22,73,41.723313,-87.638408
Vacant/Abandoned Building,17-07151750,10/24/2017,Front,,Open,BASEMENT,Vacant,false,true,8850,S,THROOP,ST,60620,1169215.66,1845888.51,21,22,71,41.732627,-87.655675
Vacant/Abandoned Building,17-07163920,10/24/2017,Front,,Boarded,,Vacant,false,false,7300,S,KENWOOD,AVE,60619,1186468.94,1856867.58,8,3,43,41.762364,-87.592123
Vacant/Abandoned Building,17-07177397,10/25/2017,,,,,,,,5661,N,GLENWOOD,AVE,60660,1165956.23,1937809.91,48,20,77,41.984937,-87.664995
Vacant/Abandoned Building,17-07217452,10/26/2017,Front,,Open,FRONT AND REAR,Vacant,false,true,9500,S,WALLACE,ST,60628,1173974.3,1841880.66,21,22,73,41.721524,-87.638361
Vacant/Abandoned Building,17-07231306,10/27/2017,,,,,,,,7109,S,BENNETT,AVE,60649,1189937.68,1858181.57,5,3,43,41.765887,-87.579367
Vacant/Abandoned Building,17-07298074,10/30/2017,Front,,Boarded,,Vacant,false,false,9128,S,WOODLAWN,AVE,60619,1185805.74,1844701.74,8,4,47,41.728996,-87.594936
Vacant/Abandoned Building,17-07322269,10/31/2017,Front,,Boarded,REAR DOOR,Occupied,false,true,10828,S,INDIANA,AVE,60628,1179500.67,1833208.41,9,5,49,41.697602,-87.618383
Vacant/Abandoned Building,17-07384386,11/02/2017,Front,,Open,GARAGE,Vacant,false,true,7945,S,OGLESBY,AVE,60617,1193240.95,1852744.99,7,4,46,41.750889,-87.567437
Vacant/Abandoned Building,17-07443976,11/04/2017,Front,,Open,FRONT DOOR,Vacant,false,true,10111,S,EBERHART,AVE,60628,1181360.86,1838031.61,9,5,49,41.710795,-87.611424
Vacant/Abandoned Building,17-07474207,11/05/2017,Front,,Open,FRONT AND REAR DOORS WITH BROKEN WINDOWS,Vacant,true,false,695,N,MILWAUKEE,AVE,60642,1169630.4,1904817.42,27,12,24,41.894325,-87.652445
Vacant/Abandoned Building,17-07491499,11/06/2017,Front,,Open,FRONT DOOR,Occupied,false,true,335,W,106TH,ST,60628,1175911.84,1834634.17,34,5,49,41.701596,-87.63148
Vacant/Abandoned Building,17-07526278,11/07/2017,,,,,,,,10750,S,LANGLEY,AVE,60628,1182824.23,1833768.28,9,5,50,41.699062,-87.606196
Vacant/Abandoned Building,17-07565237,11/08/2017,Rear,,Open,WINDOW,Vacant,false,false,345,W,97TH,ST,60628,1175522.71,1840595.64,21,5,49,41.717964,-87.632728
Vacant/Abandoned Building,17-07593749,11/09/2017,Front,,Open,,Vacant,false,true,2141,W,GARFIELD,BLVD,60636,1162874.86,1868024.58,15,7,67,41.793506,-87.678287
Vacant/Abandoned Building,17-07611769,11/10/2017,Rear,,Boarded,,Vacant,false,false,7506,S,NORMAL,AVE,60620,1174384.8,1855159.17,6,6,69,41.757953,-87.636463
Vacant/Abandoned Building,17-07630338,11/11/2017,Rear,,Open,ALL OVER,Vacant,false,false,10638,S,EMERALD,AVE,60628,1173197.31,1834313.02,34,22,49,41.700775,-87.64143
Vacant/Abandoned Building,17-07673122,11/13/2017,Front,,Open,FRONT,Vacant,false,false,5247,W,DIVERSEY,AVE,60639,1140914.23,1918112.57,31,25,19,41.931385,-87.757584
Vacant/Abandoned Building,17-07670107,11/13/2017,Rear,,Open,,Vacant,false,true,7618,S,HOYNE,AVE,60620,1163685.34,1854121.56,18,6,71,41.755337,-87.675705
Vacant/Abandoned Building,17-07672604,11/13/2017,Front,,Open,FRONT,Vacant,false,false,5026,W,DIVERSEY,AVE,60639,1142392.71,1918149.16,31,25,19,41.931458,-87.75215
Vacant/Abandoned Building,17-05455856,08/15/2017,Front,,Open,,Vacant,false,false,5623,W,BERENICE,AVE,60634,1138176.17,1925032.75,38,16,15,41.950425,-87.767478
Vacant/Abandoned Building,17-05463300,08/15/2017,Front,,Open,2ND FLOOR FRONT APT ENTRANCE,Vacant,false,true,6943,S,CLAREMONT,AVE,60636,1161934.97,1858484.12,17,8,66,41.767345,-87.681999
Vacant/Abandoned Building,17-05469401,08/15/2017,Front,,Open,,Vacant,false,true,11707,S,LAFAYETTE,AVE,60628,1178014.72,1827301.44,34,5,53,41.681427,-87.624001
Vacant/Abandoned Building,17-05474865,08/15/2017,Garage,,Boarded,,Vacant,false,false,2838,N,CHRISTIANA,AVE,60618,1153562.9,1918678.19,35,14,21,41.932695,-87.711087
Vacant/Abandoned Building,17-05486326,08/16/2017,Front,,Boarded,,Vacant,false,false,650,N,LARAMIE,AVE,60644,1141588.78,1903513.63,37,15,25,41.891311,-87.755467
Vacant/Abandoned Building,17-05495059,08/16/2017,Rear,,Open,SIDE,Vacant,false,true,5308,S,DAMEN,AVE,60609,1163924.23,1869426.99,16,9,61,41.797332,-87.6744
Vacant/Abandoned Building,17-05500711,08/16/2017,Rear,,Open,,Vacant,true,false,9148,S,FOREST,AVE,60619,1179863.29,1844246.06,9,6,49,41.727883,-87.616719
Vacant/Abandoned Building,17-05529241,08/18/2017,Rear,,Open,NONE,Vacant,false,false,13154,S,VERNON,AVE,60827,1181604.73,1818167.19,9,5,54,41.656279,-87.61114
Vacant/Abandoned Building,17-05531167,08/18/2017,Garage,,Open,GARAGE OPEN AND BACK DOOR,Vacant,true,true,6023,S,FAIRFIELD,AVE,60629,1159075.47,1864596.8,16,8,66,41.784178,-87.692313
Vacant/Abandoned Building,17-05533550,08/18/2017,Front,,Open,BACK DOOR IN YARD,Vacant,false,true,3615,W,64TH,ST,60629,1153328.51,1861928.78,23,8,65,41.776972,-87.713454
Vacant/Abandoned Building,17-05535261,08/18/2017,,,,,,,,9903,S,EWING,AVE,60617,1202135.26,1840024.78,10,4,52,41.715762,-87.535277
Vacant/Abandoned Building,17-05538441,08/18/2017,Front,,Open,FRONT DOOR,Vacant,true,true,7251,S,GREEN,ST,60621,1171891.53,1856769.18,6,7,68,41.762426,-87.645554
Vacant/Abandoned Building,17-05542823,08/18/2017,Front,,Boarded,,Vacant,true,true,6206,S,ELIZABETH,ST,60636,1169039.25,1863623.05,16,7,67,41.781296,-87.65581
Vacant/Abandoned Building,17-05545053,08/18/2017,Front,,Open,REAR,Vacant,false,false,7030,S,WESTERN,AVE,60636,1161589.67,1857979.22,17,8,66,41.765967,-87.683278
Vacant/Abandoned Building,17-05551420,08/19/2017,Front,,Open,,Vacant,false,false,4443,W,GLADYS,AVE,60624,1146823.99,1897985.48,28,11,26,41.876043,-87.736381
Vacant/Abandoned Building,17-05556762,08/19/2017,Front,,Open,,Vacant,false,false,1740,W,66TH,ST,60636,1165765.35,1860925.52,15,7,67,41.773964,-87.667889
Vacant/Abandoned Building,17-05823409,08/31/2017,Rear,,Boarded,,Vacant,false,false,10105,S,LAFAYETTE,AVE,60628,1177706.36,1837966.25,9,5,49,41.710699,-87.624809
Vacant/Abandoned Building,17-06516959,09/29/2017,,,,,,,,6109,S,NORMAL,BLVD,60621,1174008.86,1864374.33,20,7,68,41.783249,-87.637568
Vacant/Abandoned Building,17-07216718,10/26/2017,Front,,Open,FRONT AND REAR,Vacant,false,true,7511,S,LOWE,AVE,60620,1173366.6,1855197.6,6,6,71,41.75788,-87.64027
Vacant/Abandoned Building,17-05580123,08/21/2017,Front,,Boarded,,Vacant,false,false,4732,W,ADAMS,ST,60644,1143899.44,1898589.36,28,11,25,41.87799,-87.746896
Vacant/Abandoned Building,17-05604512,08/22/2017,Front,,Open,FRONT,Vacant,false,true,6045,S,SEELEY,AVE,60636,1163852.19,1864524.16,16,7,67,41.783751,-87.674921
