SERVICE REQUEST TYPE,SERVICE REQUEST NUMBER,DATE SERVICE REQUEST WAS RECEIVED,LOCATION ON LOT,IS BUILDING DANGEROUS OR HAZARDOUS,IS BUILDING OPEN OR BOARDED,ENTRY POINT,IS BUILDING VACANT OR OCCUPIED,IS BUILDING VACANT DUE TO FIRE,PEOPLE USING PROPERTY,ADDRESS STREET NUMBER,ADDRESS STREET DIRECTION,ADDRESS STREET NAME,ADDRESS STREET SUFFIX,ZIP CODE,X COORDINATE,Y COORDINATE,Ward,Police District,Community Area,LATITUDE,LONGITUDE
Vacant/Abandoned Building,17-05245442,08/07/2017,Front,,Open,REAR DOOR WINDOWS,Vacant,true,false,10736,S,PRAIRIE,AVE,60628,1179819.57,1833775.27,9,5,49,41.699151,-87.617198
Vacant/Abandoned Building,17-06854364,10/12/2017,Front,,Open,,Vacant,false,false,831,N,LAWNDALE,AVE,60651,1151567.32,1905294.21,27,11,23,41.896007,-87.718773
Vacant/Abandoned Building,17-05265278,08/07/2017,Front,,Open,,Vacant,false,false,1710,N,KARLOV,AVE,60639,1148786.6,1911053.17,26,25,23,41.911865,-87.728837
Vacant/Abandoned Building,17-06880949,10/13/2017,Rear,,Boarded,OPEN IN THE BACK,Vacant,false,false,7212,S,SOUTH CHICAGO,AVE,60619,1183438.19,1857503.51,5,3,69,41.76418,-87.603211
Vacant/Abandoned Building,17-06891657,10/13/2017,Front,,Open,WINDOWS,Vacant,false,false,2655,N,MONT CLARE,AVE,60707,1128302.3,1916857.01,29,25,18,41.928163,-87.80396
Vacant/Abandoned Building,18-01284152,04/21/2018,Front,,Open,FRONT,Vacant,false,false,2457,N,ARTESIAN,AVE,60647,1159617.83,1916259.68,1,14,22,41.925935,-87.688903
Vacant/Abandoned Building,17-06882657,10/13/2017,Front,,Open,BACK DOOR,Vacant,false,false,6905,S,WOODLAWN,AVE,60637,1185592.12,1859560.41,5,3,69,41.769774,-87.595252
Vacant/Abandoned Building,17-06875043,10/13/2017,Rear,,Open,REAR,Vacant,true,true,2623,W,MONROE,ST,60612,1158881.5,1899587.84,27,11,27,41.880202,-87.692066
Vacant/Abandoned Building,18-01285286,04/21/2018,Front,,Open,FRONT & REAR,Vacant,false,false,5147,S,PRAIRIE,AVE,60615,1178913.77,1870944.56,3,2,40,41.801168,-87.619385
Vacant/Abandoned Building,17-06881055,10/13/2017,Rear,,Boarded,REAR,Vacant,false,true,8446,S,ESCANABA,AVE,60617,1196953.1,1849525.09,10,4,46,41.741962,-87.553942
Vacant/Abandoned Building,17-06887970,10/13/2017,Front,,Open,,Vacant,false,false,2845,E,103RD,ST,60617,1196828.43,1837215.91,10,4,51,41.708187,-87.554806
Vacant/Abandoned Building,17-06882283,10/13/2017,Front,,Open,,Vacant,false,true,20,E,122ND,PL,60628,1178576.63,1823743.61,9,5,53,41.671651,-87.622052
Vacant/Abandoned Building,17-06883000,10/13/2017,,,,,,,,6542,S,GREEN,ST,60621,1171762.66,1861467.13,6,7,68,41.775321,-87.645888
Vacant/Abandoned Building,17-06873175,10/13/2017,Front,,Open,,Vacant,false,false,1636,W,51ST,ST,60609,1166183.05,1870892.76,20,9,61,41.801307,-87.666074
Vacant/Abandoned Building,18-01288640,04/22/2018,Front,,Open,WIDE OPEN,Vacant,true,false,257,W,61ST,PL,60621,1175502.03,1864144.64,20,7,68,41.782586,-87.6321
Vacant/Abandoned Building,18-01287954,04/22/2018,Front,,Open,,Occupied,false,true,1653,S,MILLER,ST,60608,1169790.71,1892071.43,25,12,31,41.859345,-87.652228
Vacant/Abandoned Building,17-06907876,10/14/2017,Front,,Open,FRONT,Vacant,true,true,11319,S,CARPENTER,ST,60643,1171350.23,1829654.89,34,22,75,41.688033,-87.648328
Vacant/Abandoned Building,17-06923248,10/14/2017,Front,,Open,FRONT,Vacant,false,true,943,W,MARQUETTE,RD,60621,1171076.45,1860404.04,6,7,68,41.772419,-87.648435
Vacant/Abandoned Building,17-06906560,10/14/2017,Front,,Open,BACK PORCH,Vacant,false,false,2921,E,96TH,ST,60617,1197282.97,1841859.15,10,4,51,41.720917,-87.552988
Vacant/Abandoned Building,17-05244877,08/07/2017,,,,,,,,7324,S,CONSTANCE,AVE,60649,1189640.72,1856772.29,8,3,43,41.762027,-87.580501
Vacant/Abandoned Building,17-06930687,10/15/2017,Front,,Open,FRONT,Vacant,false,false,1511,E,85TH,PL,60619,1187810.01,1848590.36,8,4,45,41.739619,-87.587471
Vacant/Abandoned Building,17-06931926,10/15/2017,Front,,Open,BRICK SINGLE FAMILY HOME,Vacant,false,true,6616,S,ABERDEEN,ST,60621,1170121.02,1860933.8,16,7,68,41.773893,-87.651922
Vacant/Abandoned Building,17-06934185,10/15/2017,Rear,,Open,NONE,Vacant,false,false,4345,S,ST LAWRENCE,AVE,60653,1180986.14,1876331.78,4,2,38,41.815904,-87.611619
Vacant/Abandoned Building,17-05250045,08/07/2017,Front,,Open,,Vacant,false,true,2101,W,67TH,PL,60636,1163515.17,1859878.35,16,7,67,41.771138,-87.676167
Vacant/Abandoned Building,18-01291660,04/22/2018,Front,,Boarded,,Vacant,true,true,5639,S,MAY,ST,60621,1169613.66,1867399.17,16,7,68,41.791646,-87.653594
Vacant/Abandoned Building,17-06950841,10/16/2017,Rear,,Open,,Vacant,false,false,6507,S,PARNELL,AVE,60621,1173686.86,1861723.08,20,7,68,41.775981,-87.638827
Vacant/Abandoned Building,17-06952591,10/16/2017,Rear,,Boarded,,Vacant,false,false,119,E,104TH,ST,60628,1179000.53,1836043.41,9,5,49,41.705393,-87.620128
Vacant/Abandoned Building,17-05248215,08/07/2017,Rear,,Boarded,NONE,Vacant,false,false,7724,S,CRANDON,AVE,60649,1192874.64,1854200.17,7,4,43,41.754891,-87.568732
Vacant/Abandoned Building,17-06956259,10/16/2017,Front,,Open,FRONT,Vacant,false,true,6245,S,CHAMPLAIN,AVE,60637,1181641.84,1863741.68,20,3,42,41.78134,-87.609603
Vacant/Abandoned Building,17-06952686,10/16/2017,Rear,,Open,BASEMENT WINDOWS AND TOP WINDOWS ARE BROKEN,Vacant,false,true,7724,S,CHAMPLAIN,AVE,60619,1181902.69,1853935.96,6,6,69,41.754426,-87.608949
Vacant/Abandoned Building,18-01290193,04/22/2018,Garage,,Boarded,,Vacant,false,false,6728,S,MAPLEWOOD,AVE,60629,1160532.93,1859964.23,17,8,66,41.771436,-87.687097
Vacant/Abandoned Building,17-06957321,10/16/2017,Front,,Open,,Vacant,false,false,6123,S,PAULINA,ST,60636,1166061.99,1863995.26,15,7,67,41.782382,-87.666715
Vacant/Abandoned Building,17-05255889,08/07/2017,Garage,,Open,ALL AROUND,Vacant,true,false,5816,S,TRUMBULL,AVE,60629,1154374.06,1865836.51,23,8,63,41.787675,-87.709517
Vacant/Abandoned Building,17-06948656,10/16/2017,Front,,Open,,Vacant,false,false,5814,S,GREEN,ST,60621,1171634.32,1866226.26,16,7,68,41.788383,-87.64622
Vacant/Abandoned Building,18-01289130,04/22/2018,Front,,Open,FRONT AND REAR,Vacant,false,true,9637,S,PEORIA,ST,60643,1172013.88,1840821.17,21,22,73,41.71866,-87.645572
Vacant/Abandoned Building,17-06949497,10/16/2017,Front,,Open,FRONT AND REAR,Vacant,false,true,7253,S,EMERALD,AVE,60621,1172599.09,1856776.49,6,7,68,41.762431,-87.64296
Vacant/Abandoned Building,17-05245352,08/07/2017,Front,,Open,ALL ENTRIES,Vacant,false,false,2636,E,79TH,ST,60649,1195274.86,1853100.91,7,4,43,41.751815,-87.559973
Vacant/Abandoned Building,17-05247905,08/07/2017,Front,,Boarded,,Vacant,true,false,1243,N,SPRINGFIELD,AVE,60651,1150153.19,1908063.08,26,25,23,41.903633,-87.723895
Vacant/Abandoned Building,17-06983463,10/17/2017,Rear,,Open,,Vacant,false,false,7809,S,CRANDON,AVE,60649,1192888.22,1853639.11,7,4,43,41.753351,-87.568701
Vacant/Abandoned Building,17-06975516,10/17/2017,Front,,Open,,Vacant,false,false,6532,S,CLAREMONT,AVE,60636,1161866.15,1861277,16,8,66,41.775011,-87.682173
Vacant/Abandoned Building,17-06990961,10/17/2017,Front,,Open,SIDE GANGWAY,Vacant,false,true,4031,W,ADAMS,ST,60624,1149552.25,1898706.74,28,11,26,41.87797,-87.726345
Vacant/Abandoned Building,17-06989457,10/17/2017,Rear,,Open,,Vacant,false,false,8243,S,ST LAWRENCE,AVE,60619,1181670.75,1850471.27,6,6,44,41.744924,-87.609906
Vacant/Abandoned Building,17-06989038,10/17/2017,Rear,,Open,ALL OVER,Vacant,false,true,7726,S,CHAMPLAIN,AVE,60619,1181903.09,1853922.56,6,6,69,41.754389,-87.608948
Vacant/Abandoned Building,17-06980167,10/17/2017,Front,,Boarded,,Vacant,false,false,1109,W,59TH,ST,60621,1169895.33,1865677.35,16,7,68,41.786915,-87.652612
Vacant/Abandoned Building,17-06993831,10/17/2017,Front,,Open,,Vacant,true,true,12025,S,EGGLESTON,AVE,60628,1175461.68,1825174.27,34,5,53,41.675647,-87.63341
Vacant/Abandoned Building,17-05241056,08/07/2017,Front,,Open,,Vacant,true,true,5136,S,ABERDEEN,ST,60609,1169854.74,1870742.98,20,9,61,41.800817,-87.652613
Vacant/Abandoned Building,17-06993128,10/17/2017,Front,,Boarded,,Vacant,false,true,4818,S,HERMITAGE,AVE,60609,1165491.74,1872749.32,15,9,61,41.806416,-87.668557
Vacant/Abandoned Building,17-07006278,10/18/2017,Front,,Open,FRONT,Vacant,false,false,8313,S,GREEN,ST,60620,1172080.24,1849727.6,21,6,71,41.743099,-87.645069
Vacant/Abandoned Building,17-05255289,08/07/2017,Front,,Open,ALLAROUND,Vacant,false,true,1042,N,AVERS,AVE,60651,1150527.79,1906678.64,37,11,23,41.899827,-87.722555
Vacant/Abandoned Building,17-05254336,08/07/2017,Front,,Open,FRONT,Vacant,false,false,9103,S,WENTWORTH,AVE,60620,1176546.68,1844593.92,21,6,49,41.728913,-87.628857
Vacant/Abandoned Building,17-07016538,10/18/2017,Front,,Open,REAR DOOR,Vacant,false,true,9121,S,DREXEL,AVE,60619,1184151.69,1844607.24,8,4,47,41.728775,-87.600998
Vacant/Abandoned Building,17-05245416,08/07/2017,Front,,Open,FRONT ENTRY ACCESSIBLE AS WELL AS WINDOW,Vacant,false,false,9110,S,INDIANA,AVE,60619,1179190.44,1844623.88,9,6,49,41.728935,-87.619172
Vacant/Abandoned Building,17-07006154,10/18/2017,Front,,Boarded,,Vacant,false,false,1163,E,43RD,ST,60653,1184860.36,1876735.76,4,2,39,41.816922,-87.597395
Vacant/Abandoned Building,17-07016858,10/18/2017,Front,,Open,FRONT,Vacant,true,false,731,N,LOREL,AVE,60644,1140542.15,1904331.63,37,15,25,41.893575,-87.759291
Vacant/Abandoned Building,17-07006082,10/18/2017,Front,,Open,,Vacant,false,false,10517,S,STATE,ST,60628,1178112.01,1835216.11,9,5,49,41.703143,-87.623406
